hunk_id,file,classification,num_tag,summary,decision_reason,ambiguous
src/Set/Base.H:16-21,src/Set/Base.H,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Set/Base.H:188-193,src/Set/Base.H,FEATURE,no,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Set/Matrix4_Major.H:54-93#2,src/Set/Matrix4_Major.H,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Solver/Nonlocal/Newton.H:1-16,src/Solver/Nonlocal/Newton.H,FEATURE,no,"Adds nonlinear solver controls, convergence, resync, diagnostics, or AMR state.",Adds/changes solver behavior independent of device execution.,no
src/Solver/Nonlocal/Newton.H:275-287,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Adds nonlinear line-search state.",Changes solver behavior independent of device execution.,no
src/Solver/Nonlocal/Newton.H:289-294,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Allocates baseline and trial fields for line search.",Changes solver iteration behavior independent of device execution.,no
src/Solver/Nonlocal/Newton.H:301-331,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Changes tangent layout and nonlinear solve state for conservative flux and line search.",Changes solver formulation and iteration behavior independent of device execution.,no
src/Solver/Nonlocal/Newton.H:396-411,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Adds coefficient resync and finite-state checks to scalar Newton solves.",Changes solver convergence behavior independent of device execution.,no
src/Solver/Nonlocal/Newton.H:423-438,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Adds explicit convergence termination and exhaustion behavior.",Changes solver convergence criteria independent of device execution.,no
src/Solver/Nonlocal/Newton.H:449-457,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Changes AMR field sizing to use the active finest level.",Changes multilevel solver behavior independent of device execution.,no
src/Solver/Nonlocal/Newton.H:472-489,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Changes residual/tangent field sizing and component layout.",Changes multilevel numerical behavior independent of device execution.,no
src/Solver/Nonlocal/Newton.H:492-498,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Refluxes residuals before composite reporting.",Changes multilevel residual behavior independent of device execution.,no
src/Solver/Nonlocal/Newton.H:626-645,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Adds line-search, convergence, projection, and diagnostic solver controls.",Changes solver formulation and convergence behavior independent of device execution.,no
src/Solver/Nonlocal/Newton.H:648-654,src/Solver/Nonlocal/Newton.H,FEATURE,yes,"Adds nonlinear convergence policy implementation and validation.",Changes solver convergence behavior independent of device execution.,no
src/Test/BC/Constant.H:0-0,src/Test/BC/Constant.H,FEATURE,no,Adds regression/unit coverage for new behavior.,BASE lacks these tests; capability/verification addition independent of device execution.,no
src/Test/Numeric/Stencil.H:134-139,src/Test/Numeric/Stencil.H,FEATURE,yes,Adds regression/unit coverage for new behavior.,BASE lacks these tests; capability/verification addition independent of device execution.,no
src/Test/Solver/Nonlocal/Newton.H:0-0,src/Test/Solver/Nonlocal/Newton.H,FEATURE,no,Adds regression/unit coverage for new behavior.,BASE lacks these tests; capability/verification addition independent of device execution.,no
src/Unit/Unit.H:194-249,src/Unit/Unit.H,FEATURE,yes,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Util/Util.H:15-20,src/Util/Util.H,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Util/Util.cpp:28-33,src/Util/Util.cpp,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Util/Util.cpp:138-143,src/Util/Util.cpp,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/alamo_gpu.cc:0-0,src/alamo_gpu.cc,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/test.cc:4-10,src/test.cc,FEATURE,no,Adds regression/unit coverage for new behavior.,BASE lacks these tests; capability/verification addition independent of device execution.,no
src/test.cc:98-103,src/test.cc,FEATURE,no,Adds regression/unit coverage for new behavior.,BASE lacks these tests; capability/verification addition independent of device execution.,no
src/test.cc:120-125,src/test.cc,FEATURE,no,Adds regression/unit coverage for new behavior.,BASE lacks these tests; capability/verification addition independent of device execution.,no
