path,source_ref,disposition,pattern_ids,notes
"docs/agent_plans/20260620-gpu-phase1-and-lever25/tasks/A-lever25-field-packing.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase1-and-lever25/tasks/B-phase1-elastic-disposition.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,GPU-007,GPU-012,GPU-013,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/INTEGRATION.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/PLAN.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/TEST_CASES.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/results/001-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/results/002-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/results/003-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/results/RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/tasks/001-3d-inputs.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/tasks/002-nova-3d-scripts.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase3-regime-scaling/tasks/003-budget-and-harness.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/PLAN.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/results/001-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/results/003-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/results/004-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/results/005-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/results/006-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/results/RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/tasks/001-phase4-1-cpu-regression.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/tasks/002-phase4-r4-dispatch.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/tasks/003-phase4-4-encapsulation-convention.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/tasks/004-phase5-1-correctness-ci.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/tasks/005-phase5-2-perf-tracking.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260621-gpu-phase4-5/tasks/006-phase5-3-4-docs-dod.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260622-analysis-suite-backfill/PLAN.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"docs/agent_plans/20260622-analysis-suite-backfill/results/001-RESULT.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"docs/agent_plans/20260622-analysis-suite-backfill/results/002-RESULT.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"docs/agent_plans/20260622-analysis-suite-backfill/results/RESULT.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"docs/agent_plans/20260622-analysis-suite-backfill/tasks/001-analysis-suite-rewrite.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"docs/agent_plans/20260622-analysis-suite-backfill/tasks/002-results-bundles.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"docs/agent_plans/20260625-gpu-tests/PLAN.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011","Evidence context; diff remains authoritative."
"docs/agent_plans/20260625-gpu-tests/results/RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011","Evidence context; diff remains authoritative."
"docs/agent_plans/20260705-meta-workflow-install/PLAN.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"docs/agent_plans/20260705-meta-workflow-install/results/RESULT.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
