path,source_ref,disposition,pattern_ids,notes
docs/agent_plans/20260709-fapply-kernel-surgery/PLAN.md,chamber-gpu,ROUTE_PATTERN,GPU-015;GPU-018;GPU-019;GPU-020,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, verify=2, golden=5."
docs/agent_plans/20260709-fapply-kernel-surgery/results/RESULT.md,chamber-gpu,ROUTE_PATTERN,GPU-015;GPU-018;GPU-019;GPU-020,"Read exact source; retained as evidence for manual cross-check. Signals: nan=1, verify=1, golden=10."
docs/agent_plans/20260709-fsmooth-launch-fusion/NOTES.md,chamber-gpu,ROUTE_PATTERN,GPU-015,"Read exact source; retained as evidence for manual cross-check. Signals: golden=1, sync=1, diagnostic=1."
docs/agent_plans/20260709-fsmooth-launch-fusion/PLAN.md,chamber-gpu,ROUTE_PATTERN,GPU-015,Read exact source; retained as evidence for manual cross-check. Signals: golden=3.
docs/agent_plans/20260709-fsmooth-launch-fusion/results/RESULT.md,chamber-gpu,ROUTE_PATTERN,GPU-015,Read exact source; retained as evidence for manual cross-check. Signals: golden=2.
docs/agent_plans/20260709-traction-multiplier/PLAN.md,chamber-gpu,ROUTE_PATTERN,NUM-003,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, verify=3, golden=3, race=1."
docs/agent_plans/20260709-traction-multiplier/results/RESULT.md,chamber-gpu,ROUTE_PATTERN,NUM-003,Read exact source; retained as evidence for manual cross-check. Signals: golden=2.
docs/agent_plans/20260713-elastic-regression-recovery/NOTES.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=10, nan=13, non-finite=6, regression=14, sync=8."
docs/agent_plans/20260713-elastic-regression-recovery/PLAN.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=6, nan=2, non-finite=1, verify=6, regression=9."
docs/agent_plans/20260713-elastic-regression-recovery/results/HANDOFF.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=2, verify=2, regression=3, sync=2, diagnostic=1."
docs/agent_plans/20260713-elastic-regression-recovery/results/RESIDUAL_DIAGNOSTICS_FINAL.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=5, nan=1, regression=5, diagnostic=7."
docs/agent_plans/20260713-elastic-regression-recovery/results/RESULT.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=2, nan=2, regression=2, diagnostic=2."
docs/agent_plans/20260713-elastic-regression-recovery/results/REVIEW.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, verify=1, regression=3, golden=1, race=1."
docs/agent_plans/20260713-fapply-322b-a100/NOTES.md,chamber-gpu,ROUTE_PATTERN,GPU-015;GPU-018;GPU-019;GPU-020,Read exact source; retained as evidence for manual cross-check. Signals: sync=1.
docs/agent_plans/20260713-fapply-322b-a100/PLAN.md,chamber-gpu,ROUTE_PATTERN,GPU-015;GPU-018;GPU-019;GPU-020,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, verify=2, regression=2, golden=1, sync=1."
docs/agent_plans/20260713-fapply-322b-a100/results/RESULT.md,chamber-gpu,ROUTE_PATTERN,GPU-015;GPU-018;GPU-019;GPU-020,"Read exact source; retained as evidence for manual cross-check. Signals: nan=1, regression=6, sync=1."
docs/agent_plans/20260713-launch-bounds-sweep/PLAN.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, verify=2, golden=4."
docs/agent_plans/20260718-matrix4-device-annotation/PLAN.md,chamber-gpu,ROUTE_PATTERN,GPU-017,"Read exact source; retained as evidence for manual cross-check. Signals: failure=2, verify=1, regression=1, golden=5."
docs/agent_plans/20260718-matrix4-device-annotation/results/RESULT.md,chamber-gpu,ROUTE_PATTERN,GPU-017,Read exact source; retained as evidence for manual cross-check. Signals: golden=1.
docs/agent_plans/20260718-rodtube-gate-recalibration/NOTES.md,chamber-gpu,ROUTE_PATTERN,NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, golden=1."
docs/agent_plans/20260718-rodtube-gate-recalibration/PLAN.md,chamber-gpu,ROUTE_PATTERN,NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, verify=8, regression=1, golden=8."
docs/agent_plans/20260718-rodtube-gate-recalibration/results/RESULT.md,chamber-gpu,ROUTE_PATTERN,NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: verify=1, regression=1, golden=4."
docs/archive/CURRENT.md,chamber-gpu,STALE_DROP,,"Historical/archive planning prose is superseded by exact current diffs; retain no Transform guidance. Signals: failure=3, nan=1, regression=1, golden=2, race=6."
docs/archive/GPU_AUDIT_20260702.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, nan=2, regression=3, golden=3, race=8."
docs/archive/GPU_ROADMAP_V3.md,chamber-gpu,STALE_DROP,,"Historical/archive planning prose is superseded by exact current diffs; retain no Transform guidance. Signals: failure=1, nan=4, regression=12, golden=11, race=4."
docs/archive/GPU_STRUCTURAL_PLAN_20260703.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: nan=3, verify=3, regression=1, golden=5, race=1."
docs/archive/READ_FIRST_NEXT_STEP.md,chamber-gpu,STALE_DROP,,"Historical/archive planning prose is superseded by exact current diffs; retain no Transform guidance. Signals: failure=1, verify=1, regression=4, golden=4, sync=3."
docs/archive/ROADMAP.md,chamber-gpu,STALE_DROP,,"Historical/archive planning prose is superseded by exact current diffs; retain no Transform guidance. Signals: failure=2, nan=7, verify=3, regression=8, golden=14."
docs/archive/SUCCESS_BOOK.md,chamber-gpu,STALE_DROP,,"Historical/archive planning prose is superseded by exact current diffs; retain no Transform guidance. Signals: failure=4, nan=2, verify=1, regression=4, golden=1."
docs/gpu_device_capture_conventions.md,chamber-gpu,ANTI_PATTERN_CANDIDATE,GPU-018;GPU-019;GPU-022;GPU-025,Read exact source; retained as evidence for manual cross-check. Signals: nan=8.
docs/gpu_elastic_device_port_plan.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: nan=7, verify=1, regression=1, golden=6."
docs/gpu_safe_ic_bc_matrix.md,chamber-gpu,ANTI_PATTERN_CANDIDATE,GPU-010;GPU-019;GPU-022,Read exact source; retained as evidence for manual cross-check.
docs/llm/BUG_PATTERNS.md,chamber-gpu,ANTI_PATTERN_CANDIDATE,GPU-015;GPU-018;GPU-019;GPU-022;GPU-025,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, nan=1, race=1, sync=7."
docs/llm/CONVENTIONS.md,chamber-gpu,ANTI_PATTERN_CANDIDATE,GPU-015;GPU-018;GPU-019;GPU-022;GPU-025,"Read exact source; retained as evidence for manual cross-check. Signals: regression=1, golden=2."
docs/llm/INDEX.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check. Signals: golden=1.
docs/llm/PLAN.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: golden=4, sync=1."
docs/llm/TASK_TEMPLATE.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, verify=2."
docs/llm/VERSIONS.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: regression=1, golden=1, sync=4."
docs/llm/changelog/2026-06-20-session-handoff.md,chamber-gpu,EVIDENCE_ONLY,,"Historical changelog; use only as provenance, not normative pattern prose. Signals: nan=1, race=2, sync=7, diagnostic=1."
docs/llm/changelog/2026-06-26-3d-elastic-gpu-fix.md,chamber-gpu,EVIDENCE_ONLY,,"Historical changelog; use only as provenance, not normative pattern prose. Signals: failure=7, nan=3, race=2, diagnostic=1."
docs/llm/changelog/2026-06-26-gpu-test-suite-fixes.md,chamber-gpu,EVIDENCE_ONLY,,"Historical changelog; use only as provenance, not normative pattern prose. Signals: failure=4, regression=1, golden=2, race=2, diagnostic=2."
docs/llm/changelog/2026-06-30-chamber-coupling-review.md,chamber-gpu,EVIDENCE_ONLY,,"Historical changelog; use only as provenance, not normative pattern prose. Signals: non-finite=1."
docs/llm/changelog/2026-07-02-gpu-audit.md,chamber-gpu,EVIDENCE_ONLY,,"Historical changelog; use only as provenance, not normative pattern prose. Signals: failure=1, nan=1, regression=1, golden=3, race=3."
docs/llm/changelog/2026-07-04-mlmg-resync-coeffs.md,chamber-gpu,EVIDENCE_ONLY,,"Historical changelog; use only as provenance, not normative pattern prose. Signals: regression=2, golden=4, sync=14."
docs/llm/changelog/2026-07-06-efficiency-campaign.md,chamber-gpu,EVIDENCE_ONLY,,"Historical changelog; use only as provenance, not normative pattern prose. Signals: failure=1, nan=1, golden=3, sync=1."
docs/llm/changelog/2026-07-06-meta-workflow-install.md,chamber-gpu,EVIDENCE_ONLY,,"Historical changelog; use only as provenance, not normative pattern prose. Signals: golden=1."
docs/llm/changelog/2026-07-18-rodtube-gate-recalibration.md,chamber-gpu,ROUTE_PATTERN,NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: regression=1, golden=3."
docs/llm/perf/2026-06-20-gpu-port-report.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: failure=1, nan=6, golden=1, race=6, sync=28."
docs/paper/paper.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check. Signals: regression=5.
remediation.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: failure=2, verify=6, regression=3, golden=9, sync=2."
tasks/001-gpu-test-framework.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check. Signals: failure=2.
tasks/002-smoke-tests.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check. Signals: verify=1.
tasks/003-perf-2d-tests.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check.
tasks/004-perf-3d-test.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check. Signals: verify=1.
tasks/005-correctness-elastic.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: regression=1, race=1."
tasks/006-restart-roundtrip.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check.
tasks/007-multibox-elastic-stress.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check. Signals: nan=1.
tasks/008-amr-correctness.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check.
benchmark/GPU_ROADMAP_V2.md,chamber-gpu-elastic-opt@0ba677e37f10b0ac1b4cdcb1d7bb388924a0e00b,STALE_DROP,,"Historical/archive planning prose is superseded by exact current diffs; retain no Transform guidance. Signals: failure=1, nan=1, verify=1, regression=14, golden=3."
benchmark/PHASE1_ELASTIC_DISPOSITION.md,chamber-gpu-elastic-opt@0ba677e37f10b0ac1b4cdcb1d7bb388924a0e00b,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: failure=4, race=1."
benchmark/PHASE5_BRANCH_DONE.md,chamber-gpu-elastic-opt@0ba677e37f10b0ac1b4cdcb1d7bb388924a0e00b,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: failure=2, nan=5, verify=1, regression=4, golden=8."
benchmark/PHASE_C1_cpu_golden_compare.md,chamber-gpu-elastic-opt@0ba677e37f10b0ac1b4cdcb1d7bb388924a0e00b,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: nan=1, golden=1, diagnostic=2."
benchmark/PHASE_C1_fapply_occupancy.md,chamber-gpu-elastic-opt@0ba677e37f10b0ac1b4cdcb1d7bb388924a0e00b,ROUTE_PATTERN,GPU-015;GPU-018;GPU-019;GPU-020,"Read exact source; retained as evidence for manual cross-check. Signals: nan=2, regression=1, golden=2, sync=1, diagnostic=1."
benchmark/PHASE_C1_nova_ab.md,chamber-gpu-elastic-opt@0ba677e37f10b0ac1b4cdcb1d7bb388924a0e00b,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: golden=2, sync=2."
docs/agent_plans/20260713-launch-bounds-sweep/results/ptxas_table.md,launch-bounds-sweep@23fc0f3b95f13929f122eff4bdf22a149beb8977,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check.
